ANATCELL 4411B - DISCOVERY BASED CELL BIO II,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '12:30 PM', '2:30 PM', 'MSB-447', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '10:30 AM', '11:30 AM', 'MSB-447']]"
ANATCELL 3319 - SYSTEMIC HUMAN ANATOMY,"[['', '  ', ' Tu', '  ', ' Th', '  ', ' ', ' ', '', '9:30 AM', '10:30 AM', 'NCB-113', '', '  ', '  ', '  ', '  ', ' F', ' ', ' ', '', '9:30 AM', '10:30 AM', 'DSB-2005A', '', '  ', '  ', '  ', '  ', ' F', ' ', ' ', '', '10:30 AM', '11:30 AM', 'DSB-2005A', '', '  ', '  ', '  ', '  ', ' F', ' ', ' ', '', '11:30 AM', '12:30 PM', 'DSB-2005A', '', '  ', '  ', '  ', '  ', ' F', ' ', ' ', '', '1:30 PM', '2:30 PM', 'DSB-2005A', '', '  ', '  ', '  ', '  ', ' F', ' ', ' ', '', '2:30 PM', '3:30 PM', 'DSB-2005A', '', '  ', '  ', '  ', '  ', ' F', ' ', ' ', '', '3:30 PM', '4:30 PM', 'DSB-2005A', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'BARRIE', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'LONDON', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'OTTAWA', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'SUDBURY', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'TORONTO', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'VANCOUVER', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'CALGARY']]"
ANATCELL 4451F - INTEGRATIVE NEUROSCIENCE,"[['', ' M', '  ', ' W', '  ', '  ', ' ', ' ', '', '11:30 AM', '12:30 PM', 'SSC-3010', '', '  ', '  ', '  ', '  ', ' F', ' ', ' ', '', '10:30 AM', '12:30 PM', 'P&amp;AB-36', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'BARRIE', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'LONDON', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'OTTAWA', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'SUDBURY', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'TORONTO', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'VANCOUVER', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'CALGARY']]"
ANATCELL 2221 - FUNCTIONAL HUMAN ANATOMY,"[['', '  ', ' Tu', '  ', ' Th', '  ', ' ', ' ', '', '2:30 PM', '3:30 PM', 'WSC-55', '', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '3:30 PM', '5:30 PM', 'DSB-4001', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '3:30 PM', '5:30 PM', 'DSB-4001']]"
ANATCELL 4429A - ADVANCED MEDICAL CELL BIOLOGY,"[['', ' M', '  ', ' W', '  ', '  ', ' ', ' ', '', '9:30 AM', '10:30 AM', 'DSB-2016', '', '  ', '  ', '  ', '  ', ' F', ' ', ' ', '', '9:30 AM', '10:30 AM', 'DSB-2016']]"
ANATCELL 4480E - RESEARCH PROJECT &amp; SEMINAR,"[['', ' M', ' Tu', ' W', ' Th', ' F', ' ', ' ', '', '2:30 PM', '5:30 PM', '']]"
ANATCELL 4461B - TRANSLATIONAL MODELS OF CANCER,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '9:30 AM', '10:30 AM', 'MSB-190', '', '  ', '  ', '  ', '  ', ' F', ' ', ' ', '', '9:30 AM', '12:30 PM', 'NS-7']]"
ANATCELL 4410A - DISCOVERY-BASED CELL BIO I,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '12:30 PM', '2:30 PM', 'MSB-447', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '10:30 AM', '11:30 AM', 'MSB-447']]"
ANATCELL 4452B - NEUROBIOLOGY OF MENTAL ILLNESS,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '10:30 AM', '12:30 PM', 'DSB-2016', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '11:30 AM', '1:30 PM', 'MSB-190']]"
"<div class=""span12"">
<!-- Search Results - timetable -->

51   Results <br/><br/><br/>
",[[]]
